Test,TestFactor,CovariateFactors,Strain,Sex,PValue
Maximum lifespan,Diet,NA,CC032/GeniUncJ,Male,1
Mean lifespan (lm),Diet,Sex,CC040/TauUncJ,All,0.024937931990866666
Mean lifespan (lm),Diet,NA,CC040/TauUncJ,Female,0.9834890527853402
Mean lifespan (lm),Diet,NA,CC040/TauUncJ,Male,2.0325455363214728e-4
Median lifespan,Diet,Sex,CC040/TauUncJ,All,0.11225156639124026
Median lifespan,Diet,NA,CC040/TauUncJ,Female,1.0000000000000002
Median lifespan,Diet,NA,CC040/TauUncJ,Male,0.05021027728190279
Maximum lifespan,Diet,Sex,CC040/TauUncJ,All,0.2626348376686018
Maximum lifespan,Diet,NA,CC040/TauUncJ,Female,1
Maximum lifespan,Diet,NA,CC040/TauUncJ,Male,0.10501930501930501
Mean lifespan (lm),Diet,Sex,CC041/TauUncJ,All,0.17653930109388716
Mean lifespan (lm),Diet,NA,CC041/TauUncJ,Female,0.43350058905332634
Mean lifespan (lm),Diet,NA,CC041/TauUncJ,Male,0.2727102538955391
Median lifespan,Diet,Sex,CC041/TauUncJ,All,0.11225156639124013
Median lifespan,Diet,NA,CC041/TauUncJ,Female,0.752371134563909
Median lifespan,Diet,NA,CC041/TauUncJ,Male,0.10313973551387128
Maximum lifespan,Diet,Sex,CC041/TauUncJ,All,0.05711095130350394
Maximum lifespan,Diet,NA,CC041/TauUncJ,Female,0.106029106029106
Maximum lifespan,Diet,NA,CC041/TauUncJ,Male,0.6061776061776061
Mean lifespan (lm),Diet,Sex,CC061/GeniUncJ,All,0.4642813702858821
Mean lifespan (lm),Diet,NA,CC061/GeniUncJ,Female,0.9778809266035633
Mean lifespan (lm),Diet,NA,CC061/GeniUncJ,Male,0.3366807179878968
Median lifespan,Diet,Sex,CC061/GeniUncJ,All,1
Median lifespan,Diet,NA,CC061/GeniUncJ,Female,0.5050852453957355
Median lifespan,Diet,NA,CC061/GeniUncJ,Male,0.5171237123996228
Maximum lifespan,Diet,Sex,CC061/GeniUncJ,All,0.4727167310088589
Maximum lifespan,Diet,NA,CC061/GeniUncJ,Female,0.6025974025974027
Maximum lifespan,Diet,NA,CC061/GeniUncJ,Male,0.04633204633204633
